amfi_code,scheme_name,fund_house,category,plan,cagr_1yr_computed,cagr_3yr_computed,cagr_3yr_ref,cagr_5yr_ref,diff_3yr_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Regular,-2.3071536863186193,0.15935656456500524,14.84,11.32,-14.680643435434995
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Regular,2.8512535322124943,4.771825169527744,7.37,6.41,-2.5981748304722565
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Regular,48.424262255810355,33.75958695571646,16.58,17.69,17.17958695571646
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,44.93956742704466,32.72566097608747,13.78,12.86,18.945660976087467
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,-24.171923570171405,-3.1594246762010503,22.38,23.8,-25.53942467620105
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Regular,6.907168765435778,6.080205049018561,5.14,7.95,0.9402050490185614
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,19.079664536994457,18.25384585690104,12.1,11.31,6.153845856901041
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,-12.845144721316027,-1.993645366016883,15.61,15.86,-17.60364536601688
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,11.219546124484436,26.212376157937854,15.34,15.78,10.872376157937854
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,23.220220726735306,18.1852590182084,14.0,14.7,4.185259018208399
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Direct,29.125704474523317,18.485694594317437,12.33,14.72,6.155694594317437
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,23.50312361289941,8.599903481542981,20.15,21.88,-11.550096518457018
118635,Nippon India Etf Nifty 50 Bees,Nippon India MF,Equity,Direct,23.04620613794772,16.656645561983254,11.77,12.31,4.886645561983254
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Regular,10.79530974928893,4.211757416685535,5.31,8.71,-1.0982425833144642
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,4.1015077085001295,0.6093199259856963,11.84,14.14,-11.230680074014304
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Direct,20.978299810105216,19.927376280644427,12.14,13.66,7.787376280644427
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,29.91261756035264,36.236320218826144,15.18,18.94,21.056320218826144
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,-44.5951227986363,-11.218962208312377,20.98,22.62,-32.19896220831238
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Regular,5.170249383477787,5.5578076192641435,6.07,5.43,-0.5121923807358568
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,50.55403533323788,28.193107333721336,12.36,14.45,15.833107333721337
