amfi_code,scheme_name,category,max_drawdown_pct,peak_date,trough_date,drawdown_duration_days,ref_max_drawdown_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,-24.734440880673304,2022-03-30,2022-09-15,169,-17.41
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,-4.308263824636349,2023-05-23,2023-07-28,66,-6.01
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,-16.217208574644847,2022-03-11,2022-05-12,62,-13.67
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,-11.291596329323072,2023-04-24,2023-07-05,72,-15.07
101207,ABSL Small Cap Fund - Regular - Growth,Equity,-35.44691649336603,2024-11-21,2026-05-11,536,-23.61
101208,ABSL Liquid Fund - Regular - Growth,Debt,-0.16224980244717857,2023-09-05,2023-09-12,7,-3.66
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,-10.85986215250232,2022-02-03,2022-03-29,54,-24.42
102886,UTI Mid Cap Fund - Regular - Growth,Equity,-28.00112356639287,2025-01-07,2026-04-27,475,-13.43
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,-21.539827112383225,2022-01-03,2022-07-04,182,-12.14
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,-17.41407508665723,2024-01-02,2024-07-19,199,-16.07
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,-18.62974313859551,2023-10-30,2024-02-29,122,-18.14
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,-23.34488614483311,2025-04-09,2026-02-20,317,-30.87
118635,Nippon India Etf Nifty 50 Bees,Equity,-11.650624505409091,2022-01-03,2022-06-09,157,-26.75
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,-8.316361763638703,2023-02-09,2024-02-09,365,-2.23
119092,Axis Bluechip Fund - Regular - Growth,Equity,-14.401617909337261,2023-10-12,2025-02-07,484,-27.54
119093,Axis Bluechip Fund - Direct - Growth,Equity,-21.751396370148225,2022-02-24,2023-05-22,452,-17.4
119094,Axis Midcap Fund - Regular - Growth,Equity,-20.960883862039193,2022-04-14,2022-08-11,119,-32.38
119095,Axis Small Cap Fund - Regular - Growth,Equity,-51.677753708526566,2025-05-22,2026-05-11,354,-14.45
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,-4.328728923970093,2024-09-16,2025-04-01,197,-2.3
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,-15.012385498645331,2023-08-24,2024-02-05,165,-21.7
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,-11.803493502764296,2024-05-21,2024-09-02,104,-24.43
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,-28.706005721764548,2024-08-28,2025-05-14,259,-13.35
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,-52.57422117012851,2023-01-17,2025-10-28,1015,-24.78
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,-13.897862823061635,2023-09-19,2023-11-09,51,-25.91
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,-12.588275606922517,2022-10-04,2023-05-30,238,-26.59
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,-18.188513572116292,2024-10-24,2025-01-23,91,-21.84
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,-19.82565826298267,2023-03-31,2023-08-14,136,-21.89
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,-0.09773140045925555,2025-10-16,2025-10-20,4,-2.62
120841,Kotak Bluechip Fund - Regular - Growth,Equity,-17.57361416468729,2024-01-09,2025-02-14,402,-17.86
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,-24.003511326274886,2023-11-09,2024-10-17,343,-21.92
120843,Kotak Flexicap Fund - Regular - Growth,Equity,-12.97396816518679,2022-03-07,2022-04-13,37,-19.5
120844,Kotak Liquid Fund - Regular - Growth,Debt,-0.11629327956168556,2024-04-12,2024-04-30,18,-3.81
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,-15.200013055606398,2023-12-22,2025-01-01,376,-33.5
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,-21.11727956013212,2025-04-04,2025-09-12,161,-32.22
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,-11.265729075028275,2023-07-11,2023-10-20,101,-17.07
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,-15.27259422823477,2023-09-05,2024-01-24,141,-33.15
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,-16.39674294693263,2023-08-10,2023-10-20,71,-22.62
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,-14.844576917771747,2022-01-03,2022-02-04,32,-21.7
149323,DSP Midcap Fund - Regular - Growth,Equity,-17.24810575345138,2022-06-06,2022-10-24,140,-26.99
149324,DSP Small Cap Fund - Regular - Growth,Equity,-31.171900300634213,2024-05-03,2025-01-03,245,-17.01
