amfi_code,scheme_name,fund_house,category,sub_category,plan,ann_return_pct,cagr_1yr_pct,cagr_3yr_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,Regular,2.5434874968783827,-2.3071536863186193,0.15935656456500524
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,Regular,4.298652494927047,2.8512535322124943,4.771825169527744
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,Regular,28.92786602653088,48.424262255810355,33.75958695571646
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,Regular,22.626535384993396,44.93956742704466,32.72566097608747
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,Regular,7.650158706195587,-24.171923570171405,-3.1594246762010503
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,Regular,6.2738967442827365,6.907168765435778,6.080205049018561
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,Regular,17.54041909151418,19.079664536994457,18.25384585690104
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,Regular,1.1304481066713112,-12.845144721316027,-1.993645366016883
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,Regular,16.20550058321799,11.219546124484436,26.212376157937854
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,Regular,23.116077255008193,23.220220726735306,18.1852590182084
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,Direct,15.661395483825524,29.125704474523317,18.485694594317437
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,Regular,15.756667292982707,23.50312361289941,8.599903481542981
118635,Nippon India Etf Nifty 50 Bees,Nippon India MF,Equity,Index/Etf,Direct,15.357116291589868,23.04620613794772,16.656645561983254
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,Regular,5.125853868983454,10.79530974928893,4.211757416685535
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,Regular,6.138099361837401,4.1015077085001295,0.6093199259856963
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,Direct,7.6105019563763365,20.978299810105216,19.927376280644427
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,Regular,27.1024728933271,29.91261756035264,36.236320218826144
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,Regular,1.4677909675495204,-44.5951227986363,-11.218962208312377
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,Regular,5.677262981067255,5.170249383477787,5.5578076192641435
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,Regular,24.79659784157253,50.55403533323788,28.193107333721336
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,Direct,20.69678974696634,7.9948406724375864,15.199091421256817
