amfi_code,hhi,n_sectors,top_sector,top_sector_pct,scheme_name,sub_category
119092,2064.9,7,It,48.69,Axis Bluechip Fund - Regular - Growth,Large Cap
101207,2007.4,6,Pharma,35.07,ABSL Small Cap Fund - Regular - Growth,Small Cap
119599,1747.5,7,Banking,34.08,SBI Small Cap Fund - Direct Plan - Growth,Small Cap
102885,1747.1,8,Utilities,28.95,UTI Nifty 50 Index Fund - Regular - Growth,Index
118632,1682.3,6,Telecom,30.43,Nippon India Large Cap Fund - Regular - Growth,Large Cap
148568,1679.6,6,Banking,33.8,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap
120505,1575.1,7,Pharma,40.74,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap
120506,1537.3,7,Banking,30.39,ICICI Pru Value Discovery Fund - Regular - Growth,Value
125498,1524.1,6,Banking,41.2,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap
120841,1496.5,7,Pharma,27.46,Kotak Bluechip Fund - Regular - Growth,Large Cap
148569,1494.6,7,Banking,39.83,Mirae Asset Tax Saver Fund - Regular - Growth,Elss
100033,1475.9,7,Banking,35.97,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap
149323,1416.2,7,Pharma,41.34,DSP Midcap Fund - Regular - Growth,Mid Cap
120503,1408.7,7,Fmcg,30.67,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap
100016,1395.3,8,It,25.9,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap
148567,1386.1,6,Banking,30.78,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap
125497,1365.9,7,It,26.92,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap
119094,1363.8,6,Fmcg,23.17,Axis Midcap Fund - Regular - Growth,Mid Cap
118635,1359.7,6,It,39.35,Nippon India Etf Nifty 50 Bees,Index/Etf
149322,1344.2,7,Banking,28.64,DSP Top 100 Equity Fund - Regular - Growth,Large Cap
119093,1308.9,8,It,26.67,Axis Bluechip Fund - Direct - Growth,Large Cap
102887,1297.8,6,Pharma,39.04,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap
101206,1293.1,7,Banking,25.09,ABSL Frontline Equity Fund - Regular - Growth,Large Cap
120843,1286.8,9,Utilities,19.94,Kotak Flexicap Fund - Regular - Growth,Flexi Cap
120842,1274.6,8,Automobile,26.66,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap
118633,1214.6,7,Banking,34.18,Nippon India Large Cap Fund - Direct - Growth,Large Cap
119551,1187.2,8,Utilities,21.33,SBI Bluechip Fund - Regular Plan - Growth,Large Cap
149324,1186.8,9,Pharma,32.52,DSP Small Cap Fund - Regular - Growth,Small Cap
102886,1147.4,10,Consumer Goods,18.99,UTI Mid Cap Fund - Regular - Growth,Mid Cap
119095,1096.3,8,It,24.25,Axis Small Cap Fund - Regular - Growth,Small Cap
120504,1086.5,8,Banking,35.61,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap
118634,1083.6,8,Fmcg,25.23,Nippon India Small Cap Fund - Regular - Growth,Small Cap
119552,1079.9,7,Automobile,32.48,SBI Bluechip Fund - Direct Plan - Growth,Large Cap
119598,1073.7,7,It,31.84,SBI Small Cap Fund - Regular Plan - Growth,Small Cap
