amfi_code,scheme_name,category,plan,sharpe_full,sharpe_1yr,ref_sharpe
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Regular,-0.20151706755966933,-0.5141150094958699,1.06
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,Regular,-0.5670947928476847,-0.9132267036319184,1.84
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Regular,1.0936987435346308,1.9410255451608371,0.87
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,Regular,1.0272133278753697,2.237318593920419,0.98
101207,ABSL Small Cap Fund - Regular - Growth,Equity,Regular,0.16266076928646758,-1.245445523956526,0.9
101208,ABSL Liquid Fund - Regular - Growth,Debt,Regular,-0.8155673679088286,0.371070364133703,5.14
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Regular,0.8170993373494371,0.9648585478620829,0.93
102886,UTI Mid Cap Fund - Regular - Growth,Equity,Regular,-0.20583160785470306,-1.0074368275322445,0.82
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,Regular,0.6195175900829829,0.3422747898803862,0.96
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,Regular,1.0816591793457044,1.0977226757546494,1.0
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,Direct,0.6452074382933216,1.4303661701369939,0.88
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,Regular,0.44843400890899143,0.7295752401053163,0.81
118635,Nippon India Etf Nifty 50 Bees,Equity,Direct,0.664856998549062,1.1662184358996368,0.91
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Regular,-0.35662950751436784,0.9368171697052197,1.33
119092,Axis Bluechip Fund - Regular - Growth,Equity,Regular,0.030784850954585913,-0.09984602932282322,0.85
119093,Axis Bluechip Fund - Direct - Growth,Equity,Direct,0.1296144979566933,0.9699240936740029,0.87
119094,Axis Midcap Fund - Regular - Growth,Equity,Regular,0.9982309868636414,1.1180377936771368,0.8
119095,Axis Small Cap Fund - Regular - Growth,Equity,Regular,-0.07597357117478937,-2.3282477872664105,0.84
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Regular,-0.2265753866279158,-0.3437365371193323,1.52
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,Regular,1.208266567372718,2.591382364294812,0.88
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,Direct,0.9532794968660105,0.1555802236463419,0.81
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,Regular,0.9453082575156094,2.2148448410275448,0.94
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,Direct,-0.05718662582818005,0.26023653740457525,0.93
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Regular,0.7979728586052847,-0.1593507573513339,0.82
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Direct,1.0265242847993004,0.49383550778472785,1.03
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,Regular,1.1801011976606492,1.2602731592457637,0.95
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Regular,0.6488787755249532,1.6433513452087398,0.98
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,Regular,0.49572339295331147,0.6896481841076952,7.68
120841,Kotak Bluechip Fund - Regular - Growth,Equity,Regular,0.4942725378672354,0.8025093029672006,0.87
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,Regular,0.07599984804658912,0.7162888523886777,0.96
120843,Kotak Flexicap Fund - Regular - Growth,Equity,Regular,1.3067439695428407,1.3337310135303855,0.98
120844,Kotak Liquid Fund - Regular - Growth,Debt,Regular,-0.08874729621557495,0.1178034198150541,6.18
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Direct,0.7757902498211209,1.4071618237686516,0.96
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Direct,0.30061192104254786,0.5518985183485403,0.8
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Regular,1.4482911703262602,0.6156114693788318,1.06
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Regular,0.9262873467360148,0.2526811652086565,0.91
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Regular,1.2349300257743299,1.841542738436672,0.8
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,Regular,0.4640374492204776,0.8487895875927045,0.92
149323,DSP Midcap Fund - Regular - Growth,Equity,Regular,1.1321218524747247,0.9128846446299951,0.9
149324,DSP Small Cap Fund - Regular - Growth,Equity,Regular,0.9497958246616032,1.8118904535416718,0.8
