investor_id,sip_count,avg_gap,max_gap,avg_amount,total_sip,at_risk
INV000004,6,85.4,265.0,8043.0,48256,True
INV000008,6,70.4,165.0,12142.0,72853,True
INV000010,6,64.8,139.0,5364.0,32183,True
INV000011,7,40.2,125.0,13417.0,93920,True
INV000012,8,57.0,132.0,5017.0,40139,True
INV000013,7,55.3,104.0,10802.0,75613,True
INV000014,7,75.3,128.0,20045.0,140315,True
INV000023,8,58.6,115.0,25316.0,202529,True
INV000028,6,93.6,238.0,14044.0,84262,True
INV000029,7,60.7,96.0,12859.0,90012,True
INV000030,9,47.6,100.0,8497.0,76470,True
INV000033,8,45.6,87.0,5754.0,46033,True
INV000039,6,68.6,129.0,16556.0,99338,True
INV000045,6,70.6,109.0,19073.0,114438,True
INV000048,9,46.0,168.0,4481.0,40327,True
INV000052,6,36.2,120.0,4063.0,24378,True
INV000056,6,74.8,161.0,10163.0,60977,True
INV000057,8,49.7,149.0,11363.0,90907,True
INV000069,10,49.1,129.0,15605.0,156054,True
INV000072,6,83.0,247.0,8229.0,49372,True
INV000073,9,48.2,112.0,12612.0,113509,True
INV000074,8,72.6,191.0,13334.0,106669,True
INV000075,6,74.8,102.0,24627.0,147761,True
INV000076,6,91.8,203.0,8485.0,50910,True
INV000079,6,65.8,90.0,7027.0,42160,True
INV000081,7,81.3,167.0,7815.0,54704,True
INV000082,7,83.7,351.0,3942.0,27594,True
INV000086,10,44.7,167.0,8122.0,81221,True
INV000087,6,92.8,202.0,17548.0,105288,True
INV000091,8,44.0,105.0,6892.0,55134,True
INV000093,7,55.5,91.0,20216.0,141515,True
INV000094,6,44.8,95.0,8321.0,49928,True
INV000095,6,69.4,155.0,15470.0,92823,True
INV000097,7,54.5,183.0,22158.0,155107,True
INV000101,8,65.0,197.0,14100.0,112802,True
INV000102,8,65.3,109.0,14259.0,114074,True
INV000103,6,83.4,232.0,3446.0,20675,True
INV000105,8,57.0,87.0,10864.0,86911,True
INV000109,9,46.2,63.0,7517.0,67651,True
INV000113,8,46.0,144.0,10544.0,84349,True
INV000123,7,59.7,142.0,16233.0,113633,True
INV000128,6,82.0,181.0,6379.0,38273,True
INV000131,7,56.0,123.0,14600.0,102201,True
INV000132,6,71.0,139.0,14734.0,88403,True
INV000133,6,88.2,265.0,12449.0,74695,True
INV000138,6,76.2,220.0,26011.0,156066,True
INV000145,6,89.4,282.0,21172.0,127034,True
INV000146,6,66.8,171.0,14770.0,88618,True
INV000148,9,52.0,168.0,10001.0,90012,True
INV000155,7,37.3,99.0,8219.0,57530,True
INV000161,7,73.0,213.0,6327.0,44287,True
INV000163,8,61.0,80.0,7284.0,58271,True
INV000164,6,61.8,208.0,4209.0,25253,True
INV000169,7,67.8,145.0,6958.0,48708,True
INV000173,7,57.7,165.0,11198.0,78387,True
INV000175,7,83.7,170.0,10189.0,71320,True
INV000177,8,65.4,278.0,6440.0,51520,True
INV000180,6,61.8,229.0,2654.0,15924,True
INV000183,9,56.1,216.0,9560.0,86040,True
INV000191,7,56.5,161.0,9808.0,68656,True
INV000194,7,58.0,109.0,8837.0,61857,True
INV000195,6,77.4,114.0,3623.0,21739,True
INV000196,7,69.0,176.0,11526.0,80685,True
INV000201,9,51.1,100.0,10920.0,98278,True
INV000205,8,62.6,193.0,9011.0,72091,True
INV000210,8,70.7,163.0,11696.0,93572,True
INV000214,6,94.8,306.0,11226.0,67357,True
INV000217,6,92.0,183.0,7358.0,44146,True
INV000228,9,59.8,188.0,26575.0,239176,True
INV000236,8,67.1,112.0,14027.0,112217,True
INV000238,6,93.6,287.0,24404.0,146422,True
INV000239,8,48.9,105.0,20162.0,161292,True
INV000243,6,88.2,137.0,9691.0,58145,True
INV000245,6,92.2,164.0,7670.0,46023,True
INV000249,7,45.5,162.0,27823.0,194759,True
INV000252,6,50.4,96.0,17188.0,103128,True
INV000255,6,48.6,103.0,5776.0,34653,True
INV000256,6,70.2,155.0,5317.0,31902,True
INV000259,6,70.6,165.0,13656.0,81938,True
INV000260,8,59.6,206.0,17454.0,139633,True
INV000262,8,53.6,122.0,5901.0,47209,True
INV000263,8,68.4,271.0,19710.0,157678,True
INV000265,10,53.4,140.0,20343.0,203433,True
INV000268,7,62.3,143.0,11372.0,79605,True
INV000279,9,43.4,133.0,6847.0,61623,True
INV000280,9,55.8,191.0,16133.0,145194,True
INV000283,6,68.0,195.0,4060.0,24362,True
INV000287,7,69.8,301.0,9193.0,64351,True
INV000289,8,62.7,142.0,10205.0,81640,True
INV000291,6,89.0,196.0,12696.0,76178,True
INV000292,7,46.0,95.0,17665.0,123656,True
INV000293,7,47.0,91.0,10082.0,70574,True
INV000297,6,90.6,163.0,3723.0,22338,True
INV000299,6,85.2,240.0,7593.0,45557,True
INV000304,7,70.0,204.0,11365.0,79554,True
INV000309,8,52.0,157.0,7893.0,63146,True
INV000310,7,75.8,164.0,6624.0,46368,True
INV000318,6,97.4,175.0,11621.0,69726,True
INV000319,7,73.5,201.0,5735.0,40143,True
INV000321,7,72.8,204.0,13032.0,91225,True
INV000328,9,37.5,73.0,7141.0,64273,True
INV000331,8,50.7,163.0,15547.0,124378,True
INV000334,7,25.5,60.0,6246.0,43720,False
INV000335,6,96.0,279.0,11475.0,68848,True
INV000339,6,94.0,195.0,12426.0,74556,True
INV000341,8,54.4,191.0,9558.0,76460,True
INV000356,6,54.4,157.0,12144.0,72865,True
INV000359,9,54.1,197.0,10383.0,93451,True
INV000363,7,77.0,153.0,8525.0,59677,True
INV000369,6,43.8,112.0,3776.0,22654,True
INV000371,8,59.3,147.0,8998.0,71985,True
INV000372,7,54.5,121.0,12839.0,89873,True
INV000380,6,97.0,272.0,12117.0,72700,True
INV000388,9,53.6,119.0,12158.0,109420,True
INV000392,7,77.2,205.0,5647.0,39530,True
INV000395,7,55.7,119.0,3286.0,23004,True
INV000396,6,83.2,153.0,7675.0,46049,True
INV000399,10,49.6,68.0,5819.0,58193,True
INV000400,6,62.6,101.0,3543.0,21256,True
INV000403,6,58.2,90.0,12363.0,74178,True
INV000407,6,82.4,157.0,18687.0,112123,True
INV000408,6,46.8,125.0,7896.0,47374,True
INV000412,8,43.7,70.0,10930.0,87441,True
INV000414,8,66.3,233.0,11932.0,95455,True
INV000415,7,66.2,128.0,6111.0,42775,True
INV000418,6,86.8,238.0,18916.0,113497,True
INV000427,7,68.5,116.0,15164.0,106145,True
INV000428,8,52.1,164.0,6794.0,54350,True
INV000429,6,77.2,187.0,19547.0,117284,True
INV000437,6,97.8,295.0,5456.0,32739,True
INV000440,8,69.6,162.0,4206.0,33647,True
INV000441,6,60.8,151.0,7606.0,45638,True
INV000444,6,73.2,129.0,12790.0,76737,True
INV000445,9,57.8,129.0,5878.0,52898,True
INV000446,6,38.6,101.0,5199.0,31195,True
INV000449,6,46.8,70.0,9928.0,59567,True
INV000452,9,49.4,123.0,9363.0,84270,True
INV000457,6,91.4,256.0,5454.0,32725,True
INV000460,6,43.4,107.0,5895.0,35369,True
INV000463,7,65.2,181.0,20595.0,144163,True
INV000466,7,73.3,135.0,17879.0,125151,True
INV000467,10,56.7,272.0,6541.0,65408,True
INV000469,7,70.5,183.0,4883.0,34180,True
INV000483,8,70.4,252.0,17764.0,142115,True
INV000491,6,95.0,202.0,7168.0,43008,True
INV000493,10,47.6,201.0,13008.0,130085,True
INV000497,7,71.8,191.0,10298.0,72087,True
INV000499,7,77.8,157.0,18192.0,127344,True
INV000507,7,70.2,249.0,8417.0,58920,True
