amfi_code,scheme_name,category,plan,sortino_full,ref_sortino
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Regular,-0.28691671452161044,1.7
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,Regular,-0.7815394978077994,2.79
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Regular,1.632095321874477,1.44
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,Regular,1.5456081548346998,1.25
101207,ABSL Small Cap Fund - Regular - Growth,Equity,Regular,0.23316355856774698,1.47
101208,ABSL Liquid Fund - Regular - Growth,Debt,Regular,-1.1019882261234908,8.76
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Regular,1.2137045429844162,1.29
102886,UTI Mid Cap Fund - Regular - Growth,Equity,Regular,-0.28684760191705666,1.21
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,Regular,0.9195327809249823,1.37
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,Regular,1.6120418995012007,1.68
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,Direct,0.96757245466657,1.48
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,Regular,0.6470425257454263,1.14
118635,Nippon India Etf Nifty 50 Bees,Equity,Direct,0.9765909779353333,1.24
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Regular,-0.4970575500555247,2.38
119092,Axis Bluechip Fund - Regular - Growth,Equity,Regular,0.043905107680433736,1.25
119093,Axis Bluechip Fund - Direct - Growth,Equity,Direct,0.18439384085059002,1.54
119094,Axis Midcap Fund - Regular - Growth,Equity,Regular,1.5043002008313866,1.18
119095,Axis Small Cap Fund - Regular - Growth,Equity,Regular,-0.10761832821097791,1.4
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Regular,-0.3181530265948135,2.11
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,Regular,1.8401802743304523,1.29
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,Direct,1.4196268667121263,1.29
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,Regular,1.4180348315075857,1.35
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,Direct,-0.08026660375789235,1.67
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Regular,1.176486762173707,1.12
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Direct,1.539088415551295,1.27
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,Regular,1.7834425140674453,1.45
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Regular,0.9516780642494771,1.5
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,Regular,0.7186563955297244,10.37
120841,Kotak Bluechip Fund - Regular - Growth,Equity,Regular,0.7197596304727903,1.34
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,Regular,0.10695726753500262,1.27
120843,Kotak Flexicap Fund - Regular - Growth,Equity,Regular,2.0157322986785284,1.57
120844,Kotak Liquid Fund - Regular - Growth,Debt,Regular,-0.12504081950610407,9.7
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Direct,1.148799141531125,1.45
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Direct,0.4298477866349287,1.38
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Regular,2.1778370925448676,1.66
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Regular,1.380865545288806,1.55
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Regular,1.8751591491195425,1.03
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,Regular,0.6693723931512023,1.63
149323,DSP Midcap Fund - Regular - Growth,Equity,Regular,1.6700998101246534,1.5
149324,DSP Small Cap Fund - Regular - Growth,Equity,Regular,1.42059360978377,1.23
