DATA QUALITY REPORT — AMFI CODE VALIDATION
============================================
Total codes in fund_master    : 40
Total codes in nav_history    : 40
Codes in master, missing NAV  : 0 
Orphan NAV codes (no master)  : 0 
All 40 codes validated 

NAV coverage per fund:
amfi_code  | scheme_name                                             | nav_rows | date_min   | date_max  
---------------------------------------------------------------------------------------------------------
100016     | HDFC Top 100 Fund - Regular Plan - Growth               | 1150     | 2022-01-03 | 2026-05-29
100025     | HDFC Short Term Debt Fund - Regular - Growth            | 1150     | 2022-01-03 | 2026-05-29
100033     | HDFC Mid-Cap Opportunities Fund - Regular - Growth      | 1150     | 2022-01-03 | 2026-05-29
101206     | ABSL Frontline Equity Fund - Regular - Growth           | 1150     | 2022-01-03 | 2026-05-29
101207     | ABSL Small Cap Fund - Regular - Growth                  | 1150     | 2022-01-03 | 2026-05-29
101208     | ABSL Liquid Fund - Regular - Growth                     | 1150     | 2022-01-03 | 2026-05-29
102885     | UTI Nifty 50 Index Fund - Regular - Growth              | 1150     | 2022-01-03 | 2026-05-29
102886     | UTI Mid Cap Fund - Regular - Growth                     | 1150     | 2022-01-03 | 2026-05-29
102887     | UTI Flexi Cap Fund - Regular - Growth                   | 1150     | 2022-01-03 | 2026-05-29
118632     | Nippon India Large Cap Fund - Regular - Growth          | 1150     | 2022-01-03 | 2026-05-29
118633     | Nippon India Large Cap Fund - Direct - Growth           | 1150     | 2022-01-03 | 2026-05-29
118634     | Nippon India Small Cap Fund - Regular - Growth          | 1150     | 2022-01-03 | 2026-05-29
118635     | Nippon India ETF Nifty 50 BeES                          | 1150     | 2022-01-03 | 2026-05-29
118636     | Nippon India Gilt Securities Fund - Regular - Growth    | 1150     | 2022-01-03 | 2026-05-29
119092     | Axis Bluechip Fund - Regular - Growth                   | 1150     | 2022-01-03 | 2026-05-29
119093     | Axis Bluechip Fund - Direct - Growth                    | 1150     | 2022-01-03 | 2026-05-29
119094     | Axis Midcap Fund - Regular - Growth                     | 1150     | 2022-01-03 | 2026-05-29
119095     | Axis Small Cap Fund - Regular - Growth                  | 1150     | 2022-01-03 | 2026-05-29
119120     | SBI Magnum Gilt Fund - Regular Plan - Growth            | 1150     | 2022-01-03 | 2026-05-29
119551     | SBI Bluechip Fund - Regular Plan - Growth               | 1150     | 2022-01-03 | 2026-05-29
119552     | SBI Bluechip Fund - Direct Plan - Growth                | 1150     | 2022-01-03 | 2026-05-29
119598     | SBI Small Cap Fund - Regular Plan - Growth              | 1150     | 2022-01-03 | 2026-05-29
119599     | SBI Small Cap Fund - Direct Plan - Growth               | 1150     | 2022-01-03 | 2026-05-29
120503     | ICICI Pru Bluechip Fund - Regular - Growth              | 1150     | 2022-01-03 | 2026-05-29
120504     | ICICI Pru Bluechip Fund - Direct - Growth               | 1150     | 2022-01-03 | 2026-05-29
120505     | ICICI Pru Midcap Fund - Regular - Growth                | 1150     | 2022-01-03 | 2026-05-29
120506     | ICICI Pru Value Discovery Fund - Regular - Growth       | 1150     | 2022-01-03 | 2026-05-29
120507     | ICICI Pru Liquid Fund - Regular - Growth                | 1150     | 2022-01-03 | 2026-05-29
120841     | Kotak Bluechip Fund - Regular - Growth                  | 1150     | 2022-01-03 | 2026-05-29
120842     | Kotak Emerging Equity Fund - Regular - Growth           | 1150     | 2022-01-03 | 2026-05-29
120843     | Kotak Flexicap Fund - Regular - Growth                  | 1150     | 2022-01-03 | 2026-05-29
120844     | Kotak Liquid Fund - Regular - Growth                    | 1150     | 2022-01-03 | 2026-05-29
125497     | HDFC Top 100 Fund - Direct Plan - Growth                | 1150     | 2022-01-03 | 2026-05-29
125498     | HDFC Mid-Cap Opportunities Fund - Direct - Growth       | 1150     | 2022-01-03 | 2026-05-29
148567     | Mirae Asset Large Cap Fund - Regular - Growth           | 1150     | 2022-01-03 | 2026-05-29
148568     | Mirae Asset Emerging Bluechip Fund - Regular - Growth   | 1150     | 2022-01-03 | 2026-05-29
148569     | Mirae Asset Tax Saver Fund - Regular - Growth           | 1150     | 2022-01-03 | 2026-05-29
149322     | DSP Top 100 Equity Fund - Regular - Growth              | 1150     | 2022-01-03 | 2026-05-29
149323     | DSP Midcap Fund - Regular - Growth                      | 1150     | 2022-01-03 | 2026-05-29
149324     | DSP Small Cap Fund - Regular - Growth                   | 1150     | 2022-01-03 | 2026-05-29

=============================================
DATA READINESS SCORE: 100/100
=============================================
